category,subcategory,description,date,value,income
Supermarket,,,11/01/2023,350,0
Transportation,Fuel,,11/01/2023,100,0
Transportation,Train tickets,,11/01/2023,35,0
Health,Health insurance,,11/01/2023,250,0
Restaurant,Lunch,,11/01/2023,50,0
Restaurant,Delivery,,11/01/2023,20,0
Salary,Salary,,11/01/2023,1800,1
Others,Freelance,,11/01/2023,0,1
Investment,Stocks,,11/01/2023,150,0
Investment,Savings,,11/01/2023,50,0
Household,Apartment rent,,12/01/2023,700,0
Household,Energy bill,,12/01/2023,60,0
Household,Internet,,12/01/2023,40,0
Supermarket,,,12/01/2023,450,0
Transportation,Fuel,,12/01/2023,100,0
Transportation,Train tickets,,12/01/2023,35,0
Health,Health insurance,,12/01/2023,250,0
Restaurant,Lunch,,12/01/2023,50,0
Restaurant,Delivery,,12/01/2023,20,0
Salary,Salary,,12/01/2023,1800,1
Others,Freelance,,12/01/2023,500,1
Investment,Stocks,,12/01/2023,450,0
Investment,Savings,,12/01/2023,100,0
